Taxon,temperature,climate_rating,mean_annual_ temp_celcius,mean_hottest_month_celcius,mean_coldest_quarter_celsius,mean_annual_precipitation mm/year,mean_driest_quarter mm/qtr,tree_on_CAT,PLANTSEARCH,URBANPLANTS,GBIF_CURRENT,GBIF_BGCI
Androsace tanggulashanensis,11.9917,9,4.25694,22.45,-4.775,691.5,67.0,False,3,,35,
Androsace villosa,11.9917,6,6.89722,22.075,-0.141667,1013.25,185.75,False,44,,3741,
Androsace vitaliana,11.9917,6,4.45,20.15,-2.07917,1120.75,205.5,False,14,,2521,
Anemonastrum canadense,11.9917,6,7.59444,24.4,-1.275,838.0,153.0,False,3,,9709,
Anemone blanda,11.9917,8,9.65833,23.35,2.21667,787.0,148.0,False,72,,6085,
Anemone multifida,11.9917,6,5.18681,22.475,-2.60833,664.5,118.75,False,70,,4665,
Anemone palmata,11.9917,9,13.6708,27.1,6.63334,674.5,84.0,False,24,,2250,
Anemone parviflora,11.9917,9,1.78333,20.225,-6.075,766.0,118.0,False,12,,2605,
Anemone pavonina,11.9917,8,12.9792,26.1,5.21667,678.5,110.0,False,20,,1209,
Anemone sylvestris,11.9917,6,7.48194,24.1,-1.275,693.5,122.0,False,132,,7082,
Angelica archangelica,11.9917,9,8.11874,22.825,0.904167,737.25,134.75,False,125,,8084,
